Company Name,Location,Company URL,LinkedIn URL,Brands,Description
MYOS CORP,"Cedar Knolls,NJ",https://www.myospet.com,https://www.linkedin.com/company/28502998/admin/," MYOS Canine Muscle FormulaÂ®
MYOS Muscle & Mobility Chews
MYOS Canine Muscle & Joint Formula w/ Green Lipped Mussel
MYOS Feline Muscle Formula","MYOS is dedicated to improving our pets lives with products that have been clinically proven to support muscle health. Our patented & proprietary ingredient, FortetropinÂ®, is backed by rigorous peer-reviewed scientific research and has shown that better muscle health leads to better mobility, vitality, and quality of life. Check out our MYOS Pet/Animal Health division here:Â  www.myospet.comÂ  Come see what we are all about at booth #3763!!"
Because it's Better,"Ridgefield,CT",http://www.becauseitsbetter.com,https://www.linkedin.com/company/because-its-better/about/," Because It's Better- Field to Bowl, Ocean to Bowl, Supreme Chicken. Because Its Better Functional Toppers  & Treats. Because Its Better Plant Based Meat Taste Treats. Because It's Better Protein Bites","Because Its Better is a new brand of alternative clean protein super premium dog food, toppers and treats. Featuring our functional line of toppers and treats that have a potentially positive effect on health beyond basic nutrition. At Because its Better we provide food and treats with a function.Â With the escalating costs of foods and treats we feel it is important to add function to the treats and toppers we feed our dogs rather than just empty calories. Today more than ever we are eating healther, less meat, more clean proteins and attention to how our food is sourced - this also needs to apply toÂ what we feed our dogs.Â  At Because its Better we only use healthy, nutritious and responsibly sourced ingredients that are ont only better for yourÂ dog, but also better for ourÂ planet. We have taken the empty calories out of treats and toppers and focused on active ingredients that provice a fuction to your dog that will aid in their overall health and wellness."
Alchemy Pet LLC,"Laguna Beach,CA",https://www.alchemypet.com/,https://www.linkedin.com/company/alchemy-pet/, alchemypet,"Longer. Fuller. Lives. Together - alchemypetÂ delivers innovative solutionsÂ by combiningÂ cutting-edge microencapsulation technologyÂ with naturally-derived holistic ingredients promoting proactive pet health, longevity, and maximum quality of life.Â Vet-approved, vegan, free from harmful chemicals, preservatives, and 8 major allergens."
All Star Dogs,"Marlboro,NJ",http://www.allstardogs.com,https://www.linkedin.com/company/all-star-dogs-inc.?trk=biz-companies-cym," All Star Dogs, ARMY Pets",
Animal Ortho Care,"Blaine,MN",http://www.aocpet.com,https://www.linkedin.com/company/aocpet," Haute Wheels Pet Wheelchair, L'il Back Bracer, Animal Ortho Care, EM Technology, Barque & Bau",Products we provide:
Applaws Natural Pet Food / Reveal,"PHOENIX,AZ",https://applaws.com/us/,https://www.linkedin.com/company/mpm-products-ltd/mycompany/%20, Applaws and Reveal,"MPM was founded on the belief that Making Pet Food Matters. Our mission is to enrich the lives of pets and their owners through visibly better pet food. That is why we are focused on our 3 core values: Transparency, Simplicity, and Responsibility. We are bringing these to life through our two brands: Applaws and Reveal."
Armstrong Milling Co Ltd,"Hagersville,ON",http://www.armstrongbirdfood.com,https://www.linkedin.com/company/14807902/admin/,,"Armstrong is Canada's leading provider of birdfood, and the only one to be SQF certified. With a comprehensive and unique selection of blends and seeds for every consumer, Armstrong is dedicated to growing the industry through quality and innovation."
Aroma Retail,"Las Vegas,NV",https://aromaretail.com/,https://www.linkedin.com/company/aroma-retail/,,"Aroma Retail is a home and business scenting company based in Las Vegas, well-known for its collection of signatureÂ resort scents and unique fragrance libraries. Every scent is available with aroma diffusion machines, room sprays, linenÂ sprays, reed diffusers, and hand-poured candles. Scent Your Space today at AromaRetail.com."
Asobu,"Montreal,QC",http://asobubottle.com,https://www.linkedin.com/company/asobu-bottle/, Asobu,Asobu is the first drinkware company to manufacture pet products for the Pet Parent & your pet. Each bottle is designed to ensure that you and your pet can sanitarily share the same bottle to ensure you are hydrated all day!
Astro Loyalty,"Atlanta,GA",http://www.astroloyalty.com,https://www.linkedin.com/company/astro-loyalty/,,Astro provides Frequent Buyer and Offer automation that connects Indy Pet retailers directly with their brands and distributors. Astro integrates with most POS systems. No paper. Fast and automatic credits. Built in Marketing Suite. Please stop by to see a demonstration.
Austin and Kat,"Seattle,WA",http://www.austinandkat.com,https://www.linkedin.com/company/austinandkat/,,
Ava's Pet Palace,"Westmont,IL",http://www.avaspetpalace.com,https://www.linkedin.com/company/11045702, Ava's Pet Palace,"Hi, Iâm Ava, 15-year-old founder and Chief Pet Officer of Avaâs Pet Palace. Together with my family, weâve been building a pet wellness and accessories business since I was 8. Iâve always loved animals and believed our pets are family. I create organic and natural treats for dogs and cats to help them live healthier and happier lives."
Because it's Better,"Ridgefield,CT",http://www.becauseitsbetter.com,https://www.linkedin.com/company/because-its-better/about/," Because It's Better- Field to Bowl, Ocean to Bowl, Supreme Chicken. Because Its Better Functional Toppers  & Treats. Because Its Better Plant Based Meat Taste Treats. Because It's Better Protein Bites","Because Its Better is a new brand of alternative clean protein super premium dog food, toppers and treats. Featuring our functional line of toppers and treats that have a potentially positive effect on health beyond basic nutrition. At Because its Better we provide food and treats with a function.Â With the escalating costs of foods and treats we feel it is important to add function to the treats and toppers we feed our dogs rather than just empty calories. Today more than ever we are eating healther, less meat, more clean proteins and attention to how our food is sourced - this also needs to apply toÂ what we feed our dogs.Â  At Because its Better we only use healthy, nutritious and responsibly sourced ingredients that are ont only better for yourÂ dog, but also better for ourÂ planet. We have taken the empty calories out of treats and toppers and focused on active ingredients that provice a fuction to your dog that will aid in their overall health and wellness."
Bell Rock Growers,"San Marcos,CA",https://www.petgreens.com,https://www.linkedin.com/company/bell-rock-growers, Pet Greens,Bell Rock Growers is the pioneer provider of organic and all-natural live cat grasses and catnip to more than 3000 stores nationwide.Â  Our Pet Greens line of pure and tasty treats for cats and dogs uniquely benefits indoor pets withÂ the addition of wheatgrass and other super-greens.Â  We also offer easy self-grow Cat Grass kits - grows right out of the bag!
Best Shot Pet Products,"Frankfort,KY",http://www.bestshotpet.com,https://www.linkedin.com/in/david-campanella-7b868a10/," Best Shot, 256 Disinfectant, UltraMAX, ONE SHOT, Scentament Spa, M.E.D. Wellness, Best Shot EQUINE, BSP Private Label Services","Best Shot is the preeminent shampoo choice among professional groomers, dog fanciers and discerning pet parents."
BESTIA,"Glavinica,",http://www.bestiacollars.com,https://www.linkedin.com/company/bestia-pet-ltd,,
Bil-Jac,"Medina,OH",http://www.biljac.com,https://www.linkedin.com/company/bil-jac," Sensitive Solutions, Picky No More","Bil-Jac, family-owned and operated, stands for more than 75 years of uncompromising dedication to the highest quality and freshest ingredients available. Offering a full line of super premium dog foods and dog treats, Bil-Jac is committed to feeding dogs at every stage of life. Dog food is not only Bil-Jacâs business â itâs our passion."
BioZyme Incorporated,"Saint Joseph,MO",https://biozymeinc.com/,https://www.linkedin.com/company/biozyme-inc," VitalizeÂ® (equine & canine), TrixsynÂ® (canine & feline), Backyard BoostÂ® (poultry), HyaluronexÂ® (equine).",
Bona,"Englewood,CO",https://us.bona.com/,https://www.linkedin.com/company/bona-ab, Bona,"Hardwood & Hard Surface flooring professionals with over 100 years of expertise in the care & protection of floors. Water-based and biodegradable solutions that are safe for people, pets & the planet. Products include cleaners, polishes, mops & pads. Pet specific floor cleaners for dogs and cats, with a stick mop and pet sweeping pad to remove pet hair."
BONKERS,"Auckland,",http://www.bonkerspets.com,https://www.linkedin.com/company/rhodes-petscience/,,
Bonne et Filou,"New York,NY",http://www.bonneetfilou.com,https://www.linkedin.com/company/bonneetfilou, Bonne et Filou,"Dog macarons, CBD Pet Drops, Supplement Toys, Dog Treats Advent Calendar, Toys, Clothing, Jackets, etc."
Boss Pet Products,"Danvers,MA",http://www.petedge.com,https://www.linkedin.com/in/chris-miller-6a16943/," Top Performance, Master Grooming, Aria, Ikaria, Guardian Gear, Casual Canine,  Griggles, Zack and Zoey, Andis, Wahl, Artero, Hydra, MetroVac and many other popular brands",Please visit us at booth 1730.
Breeder's Choice Pet Foods,"Irwindale,CA",https://breederschoice.com/,https://www.linkedin.com/company/breeder-s-choice-pet-foods-llc/," Avoderm
Pinnacle
Lucy Pet Foods","Since 1947, the mission of Breederâs Choice has been to produce the healthiest, highest quality & safest foods for the pets we love. Formulas are manufactured in our state-of-the-art facility in California with the latest advancements in nutrition. Our team is committed to quality and safety and strives to inspire continuous innovation in the industry."
Bundle x Joy,"Glendale,AZ",http://bundlexjoy.com,https://www.linkedin.com/company/bundlexjoy/, Bundle x Joy,"Bundle is our name, and joy is our game! We're a female-founded pet brand bringing purpose to pet nutrition, offering a total-solution bundle of dog food, treats and supplements - made with real meat or fish as the first ingredient, plant-based superfoods, and added probiotics for more joyful tummies. We harness a 3% give-back to fund women entrepreneurs."
Canidae Pet Foods,"Stamford,CT",http://www.canidae.com,https://www.linkedin.com/company/canidae/mycompany/," ALS, Pure, Active Goodness, Under the Sun, CA, Goodness Cat, Balanced Bowl","Canidae was founded in 1996 with the belief that pet food needed to be better. Better for petsÂ and better for us all. That belief lives on today in our mission toÂ create a world of sustainableÂ goodness for pets and our planet.Â  We nourish pets and planet in every bowl, through our useÂ of wholesome, responsibly sourced proteins, and our investment in regenerative farming,Â sustainable operations and eco-friendly packaging,Â  setting a new standard for the pet foodÂ industry. Everything we do results in a better product."
Canine Caviar Alkaline Holistic Pet Food,"Riverside,CA",http://www.caninecaviar.com,https://www.linkedin.com/company/canine-caviar/%20," Canine Caviar
Feline Caviar
Papa Bow Wow",
Caru Pet Food Company,"Vero Beach,FL",https://carupetfood.com/,https://www.linkedin.com/CaruPetFood/," Caru Classics Stews for Dogs, Caru Daily Dish Stews for Dogs, Caru Classics Stews for Cats, Caru Soft 'n Tasty Treats for Dogs, Caru Soft 'n Tasty Treats for Cats, Caru Bone Broth for Dogs & Cats","Caru means ""to love"" in Welsh and was the name of the founders' beloved Golden Retriever, Karu. In close collaboration with animal nutritionists, medical professionals Adrian and Pamela Pettyan created a complete line of naturally healthy stews, bone broths and treats for dogs and cats that look, smell and taste ""just like homemade"". Caru stews, bone broths and lickable (smoothies) treats are proudly made with 100% human grade ingredients and are produced with integrity in a human food facility. This healthful brand also offers a complete family of award-winning Soft 'n Tasty Treats available in assorted Bar and Bite variations. For the full story, visit www.carupetfood.com."
Celerant Technology,"Staten Island,NY",http://www.celerant.com/pets,https://www.linkedin.com/company/celerant-technology," Cumulus Retail, Stratus Enterprise, Point of Sale, eCommerce, Mobile POS, POS Software, Retail Software","All-in-one retail software to manage your entire pet shop, in-store and online. Innovative point of sale w/ pricing, coupons, promotions, Astro integration, inventory/fulfillment, eCommerce & online marketplace integrations, BOPIS, curbside pickup, email marketing & more!"
Chippin,"Arlington,VA",http://chippinpet.com,https://www.linkedin.com/company/chippin1,,
Cintas,"Mason,OH",http://www.cintas.com,http://www.linkedin.com/company/cintas," Uniforms & Apparel, Facility Services, Cleaning Chemicals, Hygiene, First Aid & Safety, Fire Protection","Even at your busiest, you can open your doors with confidence knowing Cintas has you covered with a wide range of products & services that enhance your image and help you keep your facility and employees clean, safe and looking their best."
ClearBags,"North Las Vegas,NV",http://www.clearbags.com,https://linkedin.com/company/clearbags," Crystal Clear Bags, Crystal Clear Boxes, Eco Clear Bags","ClearBags is the #1 choice for Pet Products Packaging. With over 2500+ sizes and styles of bags including gussets, zipper, hanging and barrier in stock between our 2 warehouses, we'll have what you need! We carry 100âs of Clear Box options. Need custom printing? We'll make it for you! We do custom sizes and printing on all our packaging."
Coastal Pet Products,"Alliance,OH",http://www.coastalpet.com,https://www.linkedin.com/company/261008," BerganÂ® by Coastal, SafariÂ® by Coastal, TurboÂ® by Coastal, Liâl PalsÂ® by Coastal along with K9 ExplorerÂ®, Proâ¢, Lazer BriteÂ® Styles, Ribbon, SublimeÂ®, New EarthÂ® Soy, Circle TÂ®, Safe CatÂ®, ElastaCatÂ®, and RascalsÂ® Toys plus many others!",
Combase USA,"North Las Vegas,NV",https://koronapos.com/,https://www.linkedin.com/company/combase-usa-inc-,,"KORONA POS is a leading cloud-based point of sale software for pet shops across the country. The software features vast inventory management, customÂ reporting, employee permissions, customer loyalty, eCommerce, key integrations, and more. The solution streamlines daily operations, provides more business insights, and helps you scale smartly."
Compana Pet Brands,"St. Louis,MO",http://www.mannapro.com,https://www.linkedin.com/company/compana-pet-brands/," Compana Pet Brands - Manna Pro, Oxbow Animal Health, ZuPreem, Nutrivet, Fruitables, Vet's Best, Simple Solutions","For more than 30 years, Oxbow Animal Health has dedicated each day to growing good in the lives of small pets & the people who love them.  Our mission is to inspire the love & care of small animals with quality products, sound education, and a supportive network."
Company of Animals,"Broomfield,CO",http://www.companyofanimals.com,https://www.linkedin.com/company/companyofanimalsltd," With over 11 different brands including our award-winning HaltiÂ® training, iconic grooming brand Pet HeadÂ®, market leading BaskervilleÂ® muzzles and sound-based training aid Pet CorrectorÂ®.","Founded in 1979 by Dr Roger Mugford, Company of Animals is a hub of research and innovation. With over 11 different brands including our award-winning HaltiÂ® training, iconic grooming brand Pet HeadÂ®, market leading BaskervilleÂ® muzzles and sound-based training aid Pet CorrectorÂ®."
